Bookmark
Bookmark this report: https://irmadev.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,6,"2,376",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,7,"2,642",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,8,"2,579",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,9,"2,339",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,10,"2,226",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,11,"2,248",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,12,"1,940",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,1,586,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,2,897,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,3,"1,047",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,4,"2,260",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,5,"1,863",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,6,"1,849",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,7,"2,516",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,8,"2,112",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,9,"2,078",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,10,"1,941",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,11,"1,661",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,12,"1,249",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Main Entrance,2021,"20,059"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,1,912,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,2,"1,342",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,3,"1,586",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,4,"2,384",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,5,"1,988",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,6,"2,068",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,7,"2,579",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
